ID,lon,lat,Reach_ID
CA02,5.442415,45.920551,2491001
CA01,5.494407,45.880623,2496201
GR01,5.456714,45.917338,2493001
RA01,5.435159,45.894629,2500001
BU01,5.39636,45.899826,2504201
BR01,5.442748,45.963864,2426401
BR02,5.44073,45.958314,2425601
VI01,5.532067,45.936376,2483801
AL03,5.575517,45.968351,2443600
ME01,5.608018,45.967892,2471401
AL02,5.587158,46.01002,2446201
RO01,5.611608,46.051191,2460201
JO01,5.635586,46.053805,2458601
CO01,5.617871,46.056561,2460001
AL05,5.402877,45.924939,2422601
AL01,5.619329,46.082816,2455401
BU02,5.373575,45.914635,2503401
AL07,5.276036,45.960696,2418001
AL06,5.359297,45.947267,2420801
AL04,5.499879,45.92436,2437201

