ID,lat,lon,Reach_ID
BUK03,46.1195787,18.0007144,659601
BUK07,46.1365830,18.1223415,669601
BUK09,46.1064546,18.0288548,679801
BUK10,46.1056214,18.0394760,679802
BUK12,46.1032264,18.0197531,680002
BUK15,46.1323206,18.0031690,659801
BUK16,46.1351821,17.9979594,660002
BUK19,46.1369878,18.0033785,662602
BUK20,46.1202838,18.0315662,676801
BUK21,46.1285783,18.0311766,663202
BUK23,46.1218706,18.0612314,674001
BUK27,46.1166739,18.0803237,674601
BUK30,46.1204442,18.0569318,676601
BUK32,46.1169126,18.0717876,676201
BUK37,46.1403499,18.0375452,665201
BUK38,46.1412371,18.0402123,665401
BUK39,46.1351617,18.0631435,670801
BUK40,46.1385729,18.0849012,671201
BUK42,46.1352399,18.0827152,672601
BUK45,46.1452458,18.0592117,666401
BUK49,46.1727324,18.0467810,667001
BUK50,46.1089250,17.9356832,652001
BUK52,45.9927778,17.9406944,649401
