ID,lat,lon,Reach_ID
BUT1,44.06934,16.19969,2080
BUT2,44.08295,16.1964,1680
BUT3,44.095022,16.201489,2026
BUT4,44.10723,16.21079,2030
BUT5,44.12077,16.23463,2112
BUT6,44.14007,16.24889,2822
BUT7,44.28407,16.19334,2392
BUT8,44.27497,16.19177,2308
BUT9,44.25184,16.20854,2262
BUT10,44.24538,16.21483,9001
BUT12,44.22466,16.22298,2568
BUT13,44.20055,16.23497,2224
BUT14,44.18401,16.25182,2716
BUT15,44.1729,16.16125,1826
BUT16,44.17478,16.17286,1768
BUT17,44.17306,16.16556,1728
BUT18,44.14856,16.15487,1720
BUT19,44.13955,16.25955,2916
BUT20,44.10039,16.15624,1992
BUT23,44.16428,16.26868,2816
