ID,lat,lon,Reach_ID
GEN01,36.620367,-5.172723,5856
GEN02,36.620587,-5.155505,5722
GEN03,36.616833,-5.157736,5720
GEN04,36.634993,-5.146218,5730
GEN06,36.621814,-5.120643,5802
GEN07,36.607654,-5.174738,5716
GEN08,36.609804,-5.206899,5686
GEN09,36.617712,-5.200626,5684
GEN10,36.638851,-5.226093,5628
GEN13,36.605099,-5.209257,5688
GEN14,36.578669,-5.252602,5558
GEN15,36.568422,-5.246048,5556
GEN16,36.562524,-5.196691,5908
GEN18,36.54533,-5.25457,5916
GEN19,36.530133,-5.213992,5958
GEN20,36.531083,-5.21269,5924
GEN21,36.547019,-5.192686,5934
GEN22,36.518558,-5.270995,5512
GEN24,36.4934,-5.305143,5478
GEN25,36.430618,-5.328427,5406
